LTE,722,34,15109,128004098,0,-58.3732,-34.6122,1000,24,1,1458573715,1752024123,0
LTE,722,34,15109,128036608,0,-58.3986,-34.6249,1000,18,1,1458573715,1738893484,0
LTE,722,34,15109,128036100,0,-58.4245,-34.6282,1000,20,1,1458573715,1735518601,0
LTE,722,34,15109,128036352,0,-58.4119,-34.6264,1000,13,1,1458573715,1735740422,0
LTE,722,34,15109,128063489,0,-58.3656,-34.6124,714,50,1,1458573715,1752024121,0
LTE,722,34,15109,128078849,0,-58.3784,-34.6269,646,48,1,1458573716,1755054541,0
LTE,722,34,15109,128080384,0,-58.3649,-34.6251,697,50,1,1458573716,1752024121,0
LTE,722,34,15106,128003073,0,-58.3812,-34.6094,1000,14,1,1458573708,1760269923,0
LTE,722,34,15106,128009986,0,-58.3819,-34.6042,1000,20,1,1458573709,1760269923,0
LTE,722,34,15106,128006400,0,-58.386,-34.5984,1000,16,1,1458573709,1735242722,0
LTE,722,34,15107,128006656,0,-58.3926,-34.5996,1000,19,1,1458573710,1755054601,0
LTE,722,34,15106,128072962,0,-58.3701,-34.6044,1657,50,1,1458573709,1752024122,0
LTE,722,34,15106,128064513,0,-58.3822,-34.5979,500,37,1,1458573709,1749326161,0
LTE,722,34,15106,128063234,0,-58.3666,-34.5987,1000,10,1,1458573709,1752024122,0
LTE,722,34,15106,128064517,0,-58.3815,-34.5997,1000,7,1,1458573709,1757730783,0
LTE,722,34,15107,128006144,0,-58.3991,-34.5996,1000,14,1,1458573710,1759424045,0
LTE,722,34,15107,128073984,0,-58.4044,-34.5975,1000,11,1,1458573711,1759424045,0
LTE,722,34,15107,128099587,0,-58.4078,-34.6045,1000,6,1,1458573711,1760269923,0
LTE,722,34,15107,128025092,0,-58.4054,-34.5962,1000,5,1,1458573710,1755304982,0
LTE,722,34,15107,128007425,0,-58.3917,-34.6047,1000,24,1,1458573710,1760269922,0
LTE,722,34,15107,128066817,0,-58.4021,-34.605,2482,21,1,1458573711,1760269923,0
LTE,722,34,15107,128061444,0,-58.4127,-34.6026,1000,7,1,1458573711,1759544881,0
LTE,722,34,15107,128066816,0,-58.3981,-34.6047,1000,19,1,1458573711,1759544882,0
LTE,722,34,15107,128098819,0,-58.3815,-34.6142,1000,8,1,1458573711,1754701084,0
LTE,722,34,15107,128061440,0,-58.4151,-34.6007,1000,17,1,1458573711,1759788542,0
LTE,722,34,15108,128029440,0,-58.4536,-34.6103,500,43,1,1458573712,1740140643,0
LTE,722,34,15108,128032257,0,-58.4705,-34.6304,500,49,1,1458573713,1735300141,0
LTE,722,34,15108,128029444,0,-58.4599,-34.6156,1125,10,1,1458573712,1737231842,0
LTE,722,34,15109,128036610,0,-58.4029,-34.6228,1068,19,1,1458573715,1735518542,0
LTE,722,34,15106,128009985,0,-58.3815,-34.6052,2285,16,1,1458573709,1759424044,0
LTE,722,34,15106,128007168,0,-58.384,-34.6016,1000,7,1,1458573709,1735242722,0
LTE,722,34,15106,128006401,0,-58.3875,-34.5993,1000,7,1,1458573709,1751491142,0
LTE,722,34,15107,128006146,0,-58.4028,-34.5983,1069,20,1,1458573710,1759424045,0
LTE,722,34,15107,128061442,0,-58.4155,-34.6038,1693,50,1,1458573711,1756608601,0
LTE,722,34,15107,128030466,0,-58.4138,-34.6048,1720,18,1,1458573711,1759544881,0
LTE,722,34,15107,128099586,0,-58.4087,-34.6038,3046,21,1,1458573711,1760580781,0
LTE,722,34,15107,128028162,0,-58.4096,-34.6011,1000,22,1,1458573711,1760269923,0
LTE,722,34,15107,128007429,0,-58.3917,-34.6024,1000,8,1,1458573710,1750196042,0
LTE,722,34,15107,128066819,0,-58.3995,-34.6047,1000,12,1,1458573711,1759424045,0
LTE,722,34,15107,128099589,0,-58.4106,-34.6028,1000,11,1,1458573711,1760269923,0
LTE,722,34,15108,128032515,0,-58.4597,-34.6176,1000,10,1,1458573713,1735405141,0
LTE,722,34,15107,128099844,0,-58.3995,-34.6223,1000,9,1,1458573711,1735518542,0
LTE,722,34,15108,128105473,0,-58.4881,-34.6463,1000,21,1,1458573714,1737231846,0
LTE,722,34,15109,128063488,0,-58.3654,-34.6077,1000,19,1,1458573715,1752024122,0
LTE,722,34,15109,128036353,0,-58.4155,-34.6271,1000,10,1,1458573715,1735740422,0
LTE,722,34,15109,128036609,0,-58.4045,-34.6271,3149,18,1,1458573715,1738893484,0
LTE,722,34,15109,128050178,0,-58.4469,-34.6353,1000,25,1,1458573715,1735512542,0
LTE,722,34,15109,128055042,0,-58.3654,-34.6146,1000,19,1,1458573715,1752024122,0
LTE,722,34,15109,128004096,0,-58.3694,-34.6132,817,50,1,1458573715,1752024123,0
LTE,722,34,15116,128827394,0,-58.3138,-34.6951,500,34,1,1458573718,1765460283,0
LTE,722,34,15106,128072960,0,-58.3659,-34.604,500,44,1,1458573709,1752024122,0
LTE,722,34,15107,128005633,0,-58.3888,-34.598,1102,21,1,1458573710,1759424044,0
LTE,722,34,15106,128065537,0,-58.3873,-34.5993,1000,9,1,1458573709,1751491142,0
LTE,722,34,15106,128063233,0,-58.3673,-34.602,934,50,1,1458573709,1749586982,0
LTE,722,34,15107,128025090,0,-58.4064,-34.5925,1000,18,1,1458573710,1755740882,0
LTE,722,34,15107,128025605,0,-58.4186,-34.597,1000,7,1,1458573711,1759424042,0
LTE,722,34,15107,128007427,0,-58.3876,-34.6039,1000,9,1,1458573710,1758334383,0
LTE,722,34,15107,128052225,0,-58.4083,-34.6206,1000,14,1,1458573711,1735518542,0
LTE,722,34,15108,128107009,0,-58.4989,-34.636,1033,32,1,1458573714,1742250302,0
LTE,722,34,15108,128038915,0,-58.457,-34.6362,500,27,1,1458573713,1740140643,0
LTE,722,34,15108,128041984,0,-58.4658,-34.6461,1000,21,1,1458573713,1735302302,0
LTE,722,34,15108,128041730,0,-58.489,-34.6473,5076,30,1,1458573713,1737231846,0
LTE,722,34,15109,128036355,0,-58.4113,-34.6258,1000,9,1,1458573715,1735518542,0
LTE,722,34,15109,128035328,0,-58.3688,-34.6183,835,50,1,1458573715,1749586982,0
LTE,722,34,15109,128036097,0,-58.4249,-34.628,1000,20,1,1458573715,1735740422,0
LTE,722,34,15108,128041472,0,-58.4929,-34.6456,1937,13,1,1458573713,1737231846,0
LTE,722,34,15108,128104449,0,-58.4739,-34.6324,6100,50,1,1458573714,1735246683,0
LTE,722,34,15108,128109569,0,-58.4926,-34.6404,2110,35,1,1458573714,1742250302,0
LTE,722,34,15109,128036098,0,-58.4269,-34.6241,1000,11,1,1458573715,1735506842,0
LTE,722,34,15109,128078850,0,-58.3779,-34.6266,517,50,1,1458573716,1754950157,0
LTE,722,34,15116,128769793,0,-58.3404,-34.6984,932,25,1,1458573717,1765460284,0
LTE,722,34,15108,128029443,0,-58.4534,-34.6109,1000,6,1,1458573712,1737231844,0
LTE,722,34,15108,128095233,0,-58.526,-34.6367,8171,50,1,1458573714,1742250302,0
LTE,722,34,15109,128055040,0,-58.3622,-34.6145,500,50,1,1458573715,1752024122,0
LTE,722,34,15109,128036099,0,-58.4204,-34.6253,1000,12,1,1458573715,1735356122,0
LTE,722,34,15109,128055041,0,-58.3627,-34.6196,560,50,1,1458573715,1752024121,0
LTE,722,34,15109,128039429,0,-58.4333,-34.6292,1000,9,1,1458573715,1735356122,0
LTE,722,34,15109,128080387,0,-58.3669,-34.6257,1000,20,1,1458573716,1738893484,0
LTE,722,34,15109,128078852,0,-58.3806,-34.6282,1000,23,1,1458573716,1755054541,0
LTE,722,34,15109,128078848,0,-58.374,-34.6259,1000,19,1,1458573716,1755304983,0
LTE,722,34,15116,128827392,0,-58.2953,-34.6973,1681,50,1,1458573718,1765460283,0
LTE,722,34,15116,128769284,0,-58.3606,-34.6656,1000,19,1,1458573717,1765460285,0
LTE,722,34,15164,128282368,0,-58.89,-34.4471,1000,20,1,1458573720,1742250365,0
LTE,722,34,15116,128772869,0,-58.3628,-34.6674,1338,28,1,1458573717,1765460285,0
